,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route
435,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,3,52,72,1,Pioneer Ward,3,254
436,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,9,10,0,Strathcona Married Student Ward,1,40
437,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,24,20,1,Forest Heights Ward,2,120
438,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,16,30,0,Forest Heights Ward,1,130
439,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,14,30,0,Forest Heights Ward,1,110
440,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,6,10,0,Forest Heights Ward,1,60
441,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,12,20,0,Strathcona Married Student Ward,1,66
442,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,7,25,0,Connors Hill Ward,1,100
443,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,28,90,0,Connors Hill Ward,1,65
444,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,36,45,1,Forest Heights Ward,2,0
445,Coronation Park Chapel,North Edmonton,1,3,55,195,0,Belmead Ward,1,279
446,Coronation Park Chapel,North Edmonton,2,0,39,120,0,Belmead Ward,1,313
447,Coronation Park Chapel,North Edmonton,3,0,12,180,0,Belmead Ward,1,161
448,Coronation Park Chapel,North Edmonton,3,0,30,180,0,Belmead Ward,1,316
449,Coronation Park Chapel,North Edmonton,2,0,26,75,0,Belmead Ward,1,187
450,Coronation Park Chapel,North Edmonton,3,0,57,180,0,Belmead Ward,1,226
451,Coronation Park Chapel,North Edmonton,1,3,71,195,0,Belmead Ward,1,343
452,Coronation Park Chapel,North Edmonton,2,3,54,135,0,Belmead Ward,1,272
453,Coronation Park Chapel,North Edmonton,2,3,27,135,0,Belmead Ward,1,298
454,Coronation Park Chapel,North Edmonton,1,2,25,135,0,Belmead Ward,1,245
455,Coronation Park Chapel,North Edmonton,1,2,25,135,0,Belmead Ward,1,239
456,Coronation Park Chapel,North Edmonton,2,0,19,75,0,Belmead Ward,1,264
457,Coronation Park Chapel,North Edmonton,2,3,21,45,0,Belmead Ward,1,289
458,Coronation Park Chapel,North Edmonton,4,0,31,75,0,Belmead Ward,1,267
459,Coronation Park Chapel,North Edmonton,2,3,12,75,0,Belmead Ward,1,200
460,Coronation Park Chapel,North Edmonton,2,0,17,75,0,Belmead Ward,1,303
461,Coronation Park Chapel,North Edmonton,1,0,35,105,0,Belmead Ward,1,288
462,Coronation Park Chapel,North Edmonton,2,0,35,60,0,Belmead Ward,1,257
463,Coronation Park Chapel,North Edmonton,2,0,17,120,0,Belmead Ward,1,186
464,Coronation Park Chapel,North Edmonton,3,0,25,60,0,Belmead Ward,1,219
465,Coronation Park Chapel,North Edmonton,1,1,20,60,0,Belmead Ward,1,280
466,Coronation Park Chapel,North Edmonton,1,2,31,150,0,Belmead Ward,1,284
467,Coronation Park Chapel,North Edmonton,1,3,80,120,0,Belmead Ward,1,296
468,Coronation Park Chapel,North Edmonton,1,2,20,150,0,Belmead Ward,1,234
469,Coronation Park Chapel,North Edmonton,1,2,28,150,0,Belmead Ward,1,264
470,Coronation Park Chapel,North Edmonton,1,3,13,60,0,Belmead Ward,1,210
471,Coronation Park Chapel,North Edmonton,1,3,13,60,0,Belmead Ward,1,289
472,Coronation Park Chapel,North Edmonton,2,0,47,105,0,Belmead Ward,1,268
473,Coronation Park Chapel,North Edmonton,1,0,14,60,0,Belmead Ward,1,254
474,Coronation Park Chapel,North Edmonton,2,2,45,195,0,Belmead Ward,1,240
475,Coronation Park Chapel,North Edmonton,2,2,40,195,0,Belmead Ward,1,288
476,Coronation Park Chapel,North Edmonton,2,3,32,135,0,Belmead Ward,1,288
477,Coronation Park Chapel,North Edmonton,2,3,47,135,0,Belmead Ward,1,213
478,Coronation Park Chapel,North Edmonton,2,0,63,180,0,Belmead Ward,1,328
479,Coronation Park Chapel,North Edmonton,1,0,23,135,0,Belmead Ward,1,281
480,Coronation Park Chapel,North Edmonton,2,1,31,90,0,Belmead Ward,1,256
481,Coronation Park Chapel,North Edmonton,1,0,33,120,0,Belmead Ward,1,297
482,Coronation Park Chapel,North Edmonton,2,3,61,150,0,Belmead Ward,1,284
483,Coronation Park Chapel,North Edmonton,2,3,37,120,0,Belmead Ward,1,275
484,Coronation Park Chapel,North Edmonton,0,2,30,120,0,Belmead Ward,1,267
485,Coronation Park Chapel,North Edmonton,0,2,18,120,0,Belmead Ward,1,275
486,Coronation Park Chapel,North Edmonton,3,1,38,75,0,Belmead Ward,1,278
487,Coronation Park Chapel,North Edmonton,1,0,22,120,0,Belmead Ward,1,237
488,Coronation Park Chapel,North Edmonton,2,2,25,90,0,Belmead Ward,1,228
489,Coronation Park Chapel,North Edmonton,2,1,24,150,0,Belmead Ward,1,216
490,Coronation Park Chapel,North Edmonton,2,1,37,150,0,Belmead Ward,1,217
491,Coronation Park Chapel,North Edmonton,2,1,22,150,0,Belmead Ward,1,234
492,Coronation Park Chapel,North Edmonton,2,3,26,150,0,Belmead Ward,1,237
493,Coronation Park Chapel,North Edmonton,1,2,15,45,0,Belmead Ward,1,153
494,Coronation Park Chapel,North Edmonton,1,2,16,45,0,Belmead Ward,1,300
495,Coronation Park Chapel,North Edmonton,2,0,28,120,0,Belmead Ward,1,273
496,Coronation Park Chapel,North Edmonton,2,0,29,120,0,Belmead Ward,1,201
497,Coronation Park Chapel,North Edmonton,2,1,27,150,0,Belmead Ward,1,255
498,Coronation Park Chapel,North Edmonton,2,0,18,60,0,Belmead Ward,1,207
499,Coronation Park Chapel,North Edmonton,1,2,16,30,0,Belmead Ward,1,201
500,Coronation Park Chapel,North Edmonton,1,1,30,105,0,Belmead Ward,1,219
501,Coronation Park Chapel,North Edmonton,1,1,30,105,0,Belmead Ward,1,154
502,Coronation Park Chapel,North Edmonton,1,2,31,105,0,Belmead Ward,1,289
503,Coronation Park Chapel,North Edmonton,1,2,53,105,0,Belmead Ward,1,320
504,Coronation Park Chapel,North Edmonton,1,1,16,75,0,Belmead Ward,1,273
505,Coronation Park Chapel,North Edmonton,1,1,33,75,0,Belmead Ward,1,293
506,Coronation Park Chapel,North Edmonton,1,1,15,45,0,Belmead Ward,1,195
507,Coronation Park Chapel,North Edmonton,1,1,15,45,0,Belmead Ward,1,155
508,Coronation Park Chapel,North Edmonton,3,0,43,60,0,Belmead Ward,1,293
509,Coronation Park Chapel,North Edmonton,2,3,38,150,0,Belmead Ward,1,305
510,Coronation Park Chapel,North Edmonton,1,1,38,45,0,Belmead Ward,1,299
511,Coronation Park Chapel,North Edmonton,1,1,30,60,0,Belmead Ward,1,273
512,Coronation Park Chapel,North Edmonton,3,3,19,75,0,Belmead Ward,1,281
